timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715283915338,709,SignIn,200,OK,Thread Group 1-1,text,true,,492,352,2,2,http://localhost:60968/authentication/authentication/signin,708,0,41
1715283915550,496,SignIn,200,OK,Thread Group 1-2,text,true,,492,352,2,2,http://localhost:60968/authentication/authentication/signin,495,0,3
1715283916051,189,SignIn,200,OK,Thread Group 1-3,text,true,,492,352,3,3,http://localhost:60968/authentication/authentication/signin,189,0,1
1715283916054,388,Add Language ,200,OK,Thread Group 1-2,text,true,,207,617,3,3,http://localhost:60190/profile/profile/addLanguage,388,0,6
1715283916054,388,Add Language ,200,OK,Thread Group 1-1,text,true,,207,617,3,3,http://localhost:60190/profile/profile/addLanguage,388,0,3
1715283916243,324,Add Language ,200,OK,Thread Group 1-3,text,true,,207,617,4,4,http://localhost:60190/profile/profile/addLanguage,324,0,2
1715283916536,162,SignIn,200,OK,Thread Group 1-4,text,true,,492,352,4,4,http://localhost:60968/authentication/authentication/signin,162,0,1
1715283916567,142,Edit Language ,200,OK,Thread Group 1-3,text,true,,215,661,4,4,http://localhost:60190/profile/profile/updateLanguage,142,0,0
1715283916700,47,Add Language ,200,OK,Thread Group 1-4,text,true,,207,617,4,4,http://localhost:60190/profile/profile/addLanguage,47,0,1
1715283916710,38,Delete Language ,200,OK,Thread Group 1-3,text,true,,221,641,4,4,http://localhost:60190/profile/profile/deleteLanguage,38,0,0
1715283916779,49,Add Skills,200,OK,Thread Group 1-3,text,true,,207,658,4,4,http://localhost:60190/profile/profile/addSkill,49,0,0
1715283916443,390,Edit Language ,200,OK,Thread Group 1-2,text,true,,215,661,4,4,http://localhost:60190/profile/profile/updateLanguage,390,0,0
1715283916443,404,Edit Language ,200,OK,Thread Group 1-1,text,true,,215,661,4,4,http://localhost:60190/profile/profile/updateLanguage,404,0,0
1715283916834,38,Delete Language ,200,OK,Thread Group 1-2,text,true,,221,641,4,4,http://localhost:60190/profile/profile/deleteLanguage,38,0,0
1715283916848,37,Delete Language ,200,OK,Thread Group 1-1,text,true,,221,641,4,4,http://localhost:60190/profile/profile/deleteLanguage,37,0,0
1715283916748,148,Edit Language ,200,OK,Thread Group 1-4,text,true,,215,661,4,4,http://localhost:60190/profile/profile/updateLanguage,148,0,0
1715283916873,45,Add Skills,200,OK,Thread Group 1-2,text,true,,207,658,4,4,http://localhost:60190/profile/profile/addSkill,45,0,0
1715283916896,39,Delete Language ,200,OK,Thread Group 1-4,text,true,,221,641,4,4,http://localhost:60190/profile/profile/deleteLanguage,39,0,0
1715283916829,151,Edit Skills,200,OK,Thread Group 1-3,text,true,,207,690,4,4,http://localhost:60190/profile/profile/updateSkill,151,0,0
1715283916936,44,Add Skills,200,OK,Thread Group 1-4,text,true,,207,658,4,4,http://localhost:60190/profile/profile/addSkill,44,0,0
1715283916981,38,Delete Skills,200,OK,Thread Group 1-3,text,true,,221,676,4,4,http://localhost:60190/profile/profile/deleteSkill,38,0,0
1715283916919,137,Edit Skills,200,OK,Thread Group 1-2,text,true,,207,690,5,5,http://localhost:60190/profile/profile/updateSkill,137,0,0
1715283917057,39,Delete Skills,200,OK,Thread Group 1-2,text,true,,221,676,5,5,http://localhost:60190/profile/profile/deleteSkill,39,0,0
1715283916981,141,Edit Skills,200,OK,Thread Group 1-4,text,true,,207,690,5,5,http://localhost:60190/profile/profile/updateSkill,141,0,0
1715283917123,38,Delete Skills,200,OK,Thread Group 1-4,text,true,,221,676,5,5,http://localhost:60190/profile/profile/deleteSkill,38,0,0
1715283917019,153,Add Education,200,OK,Thread Group 1-3,text,true,,207,704,5,5,http://localhost:60190/profile/profile/addEducation,153,0,0
1715283916887,286,Add Skills,200,OK,Thread Group 1-1,text,true,,207,658,5,5,http://localhost:60190/profile/profile/addSkill,286,0,0
1715283917033,157,SignIn,200,OK,Thread Group 1-5,text,true,,492,352,5,5,http://localhost:60968/authentication/authentication/signin,157,0,1
1715283917097,120,Add Education,200,OK,Thread Group 1-2,text,true,,207,704,5,5,http://localhost:60190/profile/profile/addEducation,120,0,0
